id,tripID,latitude,longitude,EVsRDR,batterySOC,batteryKMH,currentElevation,currentIncline,totalDistance,distanceFromLastPoint
312,3,-37.83134307,175.0532002,95.97802701,57.12977798,13.71114672,78,0.301783673,15.836,0.117
313,3,-37.83158665,175.0556032,95.81396201,57.03212024,13.68770886,108.5312576,0.469272206,15.277,-0.559
314,3,-37.8311686,175.0519646,95.97802701,57.12977798,13.71114672,76.06054688,0.289732895,15.948,0.671
315,3,-37.83133222,175.0508343,95.97802701,57.12977798,13.71114672,76,0.287084131,16.049,0.101
316,3,-37.83127828,175.0496117,95.485832,56.83680476,13.64083314,73.88010406,0.274193666,16.157,0.108
317,3,-37.83112644,175.0482481,5.957610437,3.546196689,0.851087205,65.17778778,0.228156567,16.278,0.121
318,3,-37.83084204,175.0471536,95.15770199,56.64148928,13.59395743,60.25585938,0.202243235,16.38,0.102
319,3,-37.83043846,175.0461176,95.15770199,56.64148928,13.59395743,58,0.19010946,16.481,0.101
320,3,-37.83007129,175.0450363,95.15770199,56.64148928,13.59395743,57.14090347,0.184934767,16.585,0.104
321,3,-37.83005398,175.0437162,95.32176699,56.73914702,13.61739528,52.0080452,0.158081885,16.7,0.115
322,3,-37.83161071,175.042079,95.32176699,56.73914702,13.61739528,51.45142365,0.15375793,16.82,0.12
323,3,-37.83238716,175.0412392,95.32176699,56.73914702,13.61739528,51.23760986,0.151447975,16.922,0.102
324,3,-37.83289087,175.0401137,94.82957198,56.4461738,13.54708171,53,0.158518771,17.036,0.114
325,3,-37.83323529,175.0388765,94.82957198,56.4461738,13.54708171,58,0.180821916,17.151,0.115
326,3,-37.83311916,175.0376375,94.82957198,56.4461738,13.54708171,58.13916016,0.179825175,17.266,0.115
327,3,-37.83248527,175.0365474,5.906340124,3.515678645,0.843762875,54.78613281,0.162912677,17.376,0.11
328,3,-37.83186715,175.0354391,5.906340124,3.515678645,0.843762875,51,0.144711673,17.495,0.119
329,3,-37.83157181,175.0342255,94.50144198,56.25085832,13.500206,48.73802567,0.133683898,17.614,0.119
330,3,-37.83153762,175.0328495,94.17331197,56.05554284,13.45333028,45,0.115626234,17.729,0.115
331,3,-37.83102414,175.0316078,93.84518196,55.86022736,13.40645457,41.53909302,0.098825364,17.851,0.122
332,3,-37.83073522,175.0304167,93.84518196,55.86022736,13.40645457,42.37744141,0.102168634,17.974,0.123
333,3,-37.83098529,175.0290591,93.18892195,55.4695964,13.31270314,49.85302734,0.135524897,18.086,0.112
334,3,-37.83133934,175.0279823,93.35298695,55.56725414,13.33614099,53.89453506,0.151268209,18.313,0.227
335,3,-37.83196291,175.0270077,93.35298695,55.56725414,13.33614099,46.1958046,0.115923397,18.424,0.111
336,3,-37.83276686,175.0261129,93.35298695,55.56725414,13.33614099,42.68661499,0.099519577,18.543,0.119
337,3,-37.83354232,175.0252748,93.35298695,55.56725414,13.33614099,49.68359756,0.129145366,18.656,0.113
338,3,-37.83430939,175.024665,93.35298695,55.56725414,13.33614099,45.38608551,0.109693418,18.759,0.103
339,3,-37.83522306,175.0246143,93.18892195,55.4695964,13.31270314,43.70166016,0.101969172,18.862,0.103
340,3,-37.83625168,175.0249118,93.18892195,55.4695964,13.31270314,38,0.077209096,18.98,0.118
341,3,-37.83729292,175.0251013,93.18892195,55.4695964,13.31270314,37,0.072651292,19.097,0.117
342,3,-37.83817575,175.024434,93.18892195,55.4695964,13.31270314,39,0.08057933,19.215,0.118
343,3,-37.83837587,175.0231998,93.18892195,55.4695964,13.31270314,40,0.084180579,19.329,0.114
344,3,-37.83786922,175.0219834,92.20453193,54.88364996,13.17207599,40,0.083819872,19.451,0.122
345,3,-37.83732788,175.0208064,92.36859693,54.9813077,13.19551385,39.03385925,0.07945457,19.571,0.12
346,3,-37.83698217,175.0195022,92.36859693,54.9813077,13.19551385,35,0.062269815,19.691,0.12
347,3,-37.83684332,175.018361,92.20453193,54.88364996,13.17207599,29.70312691,0.040057809,19.792,0.101
348,3,-37.83664722,175.0172453,91.87640192,54.68833448,13.12520027,32.08203125,0.04962163,19.893,0.101
